"","sex","age","degree","income","income_vs_average","satisfication","happy","health"
"1507","Male",54,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"1508","Female",75,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"1509","Male",51,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1510","Female",58,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1511","Female",42,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1512","Male",34,"associate/junior college","More than $25000","Below average","More of less satisfied","Pretty happy","Excellent"
"1513","Male",75,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"1514","Male",59,"Bachelors","More than $25000","Below average","Pretty well satisfied","Very happy","Good"
"1515","Male",29,"Hight school","$20000-$24999","Below average","Not satisfied at all","Not too happy","Poor"
"1516","Male",29,"Hight school","More than $25000","Below average","Not satisfied at all","Very happy","Excellent"
"1517","Female",71,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"1518","Male",37,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1519","Male",57,"Hight school","$9000-$9999","Average","More of less satisfied","Pretty happy","Fair"
"1520","Female",58,"Less than high school","under $1000","Below average","Not satisfied at all","Pretty happy","Good"
"1521","Male",22,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1522","Female",71,"Graduate","More than $25000","Far above average","Pretty well satisfied","Pretty happy","Good"
"1523","Female",21,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"1524","Male",69,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"1525","Female",23,"associate/junior college","More than $25000","Above average","More of less satisfied","Not too happy","Excellent"
"1526","Male",34,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1527","Female",41,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"1528","Male",38,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"1529","Male",75,"associate/junior college","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"1530","Female",66,"associate/junior college","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"1531","Male",41,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1532","Female",45,"Bachelors","More than $25000","Above average","Not satisfied at all","Very happy","Good"
"1533","Female",73,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"1534","Female",22,"Hight school","$10000-$14999","Below average","More of less satisfied","Pretty happy","Fair"
"1535","Female",31,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"1536","Male",27,"Bachelors","More than $25000","Above average","Not satisfied at all","Not too happy","Good"
"1537","Female",46,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"1538","Male",41,"Bachelors","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"1539","Female",53,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"1540","Male",37,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1541","Male",36,"Graduate","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"1542","Female",39,"Graduate","More than $25000","Average","Pretty well satisfied","Not too happy","Fair"
"1543","Male",47,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"1544","Female",50,"Graduate","More than $25000","Below average","Pretty well satisfied","Pretty happy","Excellent"
"1545","Female",70,"Bachelors","More than $25000","Average","Not satisfied at all","Not too happy","Good"
"1546","Female",32,"Less than high school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"1547","Male",41,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1548","Female",26,"Bachelors","$20000-$24999","Below average","Not satisfied at all","Pretty happy","Good"
"1549","Male",49,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1550","Female",51,"Less than high school","under $1000","Far below average","Not satisfied at all","Not too happy","Fair"
"1551","Male",59,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"1552","Male",47,"Less than high school","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"1553","Female",57,"Less than high school","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"1554","Male",88,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"1555","Male",73,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Good"
"1556","Male",59,"Hight school","under $1000","Far below average","Not satisfied at all","Not too happy","Fair"
"1557","Male",30,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"1558","Male",76,"Hight school","More than $25000","Average","Pretty well satisfied","Not too happy","Good"
"1559","Female",48,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"1560","Male",73,"associate/junior college","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"1561","Female",47,"Hight school","More than $25000","Far below average","Not satisfied at all","Very happy","Excellent"
"1562","Male",80,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"1563","Female",59,"associate/junior college","More than $25000","Average","Not satisfied at all","Very happy","Good"
"1564","Female",63,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Good"
"1565","Male",51,"Graduate","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"1566","Male",71,"Hight school","More than $25000","Average","Pretty well satisfied","Not too happy","Fair"
"1567","Male",77,"Graduate","More than $25000","Average","Not satisfied at all","Very happy","Good"
"1568","Female",32,"Less than high school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"1569","Female",33,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1570","Female",30,"Graduate","More than $25000","Below average","Not satisfied at all","Not too happy","Excellent"
"1571","Male",50,"associate/junior college","$6000-$6999","Below average","More of less satisfied","Very happy","Good"
"1572","Female",39,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Good"
"1573","Female",35,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"1574","Female",57,"associate/junior college","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1575","Female",61,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1576","Female",84,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Excellent"
"1577","Male",68,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1578","Female",62,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1579","Male",48,"Hight school","$15000-$19999","Below average","More of less satisfied","Pretty happy","Good"
"1580","Female",32,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"1581","Male",38,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Excellent"
"1582","Female",76,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Fair"
"1583","Male",27,"Graduate","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"1584","Female",76,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1585","Female",44,"Less than high school","$5000-$5999","Below average","Not satisfied at all","Pretty happy","Poor"
"1586","Female",46,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"1587","Female",69,"Hight school","$10000-$14999","Far below average","More of less satisfied","Very happy","Good"
"1588","Female",61,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1589","Female",48,"Bachelors","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"1590","Female",69,"associate/junior college","More than $25000","Below average","Pretty well satisfied","Very happy","Good"
"1591","Male",72,"Hight school","$20000-$24999","Above average","Not satisfied at all","Pretty happy","Good"
"1592","Male",40,"Bachelors","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"1593","Female",24,"Less than high school","More than $25000","Average","More of less satisfied","Not too happy","Good"
"1594","Male",33,"Less than high school","$15000-$19999","Far below average","Not satisfied at all","Not too happy","Good"
"1595","Female",50,"Hight school","$9000-$9999","Far above average","Not satisfied at all","Very happy","Good"
"1596","Male",63,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Good"
"1597","Female",30,"Less than high school","under $1000","Average","Not satisfied at all","Pretty happy","Good"
"1598","Female",59,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"1599","Female",83,"Graduate","More than $25000","Average","Pretty well satisfied","Not too happy","Fair"
"1600","Female",74,"associate/junior college","More than $25000","Below average","Pretty well satisfied","Pretty happy","Good"
"1601","Male",44,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Good"
"1602","Female",43,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1603","Female",51,"Hight school","More than $25000","Below average","Not satisfied at all","Very happy","Good"
"1604","Female",24,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Excellent"
"1605","Male",68,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Fair"
"1606","Female",33,"Hight school","More than $25000","Below average","Pretty well satisfied","Very happy","Excellent"
"1607","Female",36,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"1608","Male",32,"Less than high school","under $1000","Below average","Not satisfied at all","Pretty happy","Fair"
"1609","Male",37,"Hight school","$10000-$14999","Below average","More of less satisfied","Very happy","Excellent"
"1610","Female",24,"Bachelors","$20000-$24999","Average","More of less satisfied","Very happy","Excellent"
"1611","Male",27,"Bachelors","More than $25000","Far above average","Pretty well satisfied","Pretty happy","Excellent"
"1612","Male",22,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Excellent"
"1613","Female",23,"Bachelors","More than $25000","Average","Not satisfied at all","Very happy","Good"
"1614","Female",36,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1615","Male",28,"associate/junior college","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"1616","Female",55,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Good"
"1617","Female",80,"Hight school","$20000-$24999","Below average","Pretty well satisfied","Not too happy","Good"
"1618","Male",32,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1619","Male",28,"Hight school","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"1620","Male",39,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"1621","Male",25,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"1622","Male",39,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1623","Male",82,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"1624","Male",33,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1625","Female",56,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1626","Male",24,"Hight school","$20000-$24999","Average","More of less satisfied","Not too happy","Fair"
"1627","Female",69,"Graduate","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"1628","Female",55,"Bachelors","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"1629","Female",33,"Bachelors","More than $25000","Far below average","Not satisfied at all","Not too happy","Excellent"
"1630","Male",22,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1631","Male",89,"Hight school","$10000-$14999","Below average","More of less satisfied","Pretty happy","Fair"
"1632","Male",40,"Bachelors","More than $25000","Below average","Not satisfied at all","Not too happy","Excellent"
"1633","Female",54,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1634","Female",20,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1635","Female",61,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Poor"
"1636","Female",49,"associate/junior college","More than $25000","Average","Not satisfied at all","Very happy","Good"
"1637","Female",47,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"1638","Male",32,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1639","Female",56,"associate/junior college","$20000-$24999","Below average","Not satisfied at all","Pretty happy","Fair"
"1640","Male",23,"Hight school","$4000-$4999","Below average","More of less satisfied","Pretty happy","Good"
"1641","Male",34,"Graduate","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"1642","Male",46,"Graduate","More than $25000","Above average","More of less satisfied","Very happy","Good"
"1643","Female",44,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Fair"
"1644","Female",39,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"1645","Male",34,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1646","Male",74,"Bachelors","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"1647","Female",57,"Bachelors","More than $25000","Above average","More of less satisfied","Very happy","Good"
"1648","Male",52,"associate/junior college","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"1649","Male",79,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"1650","Female",89,"associate/junior college","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"1651","Male",61,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"1652","Female",74,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Fair"
"1653","Male",64,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1654","Female",63,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"1655","Male",38,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1656","Female",55,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"1657","Male",75,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"1658","Female",71,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1659","Male",66,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1660","Female",66,"Graduate","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"1661","Female",71,"Hight school","$6000-$6999","Average","More of less satisfied","Not too happy","Good"
"1662","Female",34,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Good"
"1663","Male",70,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"1664","Female",82,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1665","Male",32,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"1666","Female",42,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"1667","Male",55,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"1668","Female",82,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"1669","Male",41,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"1670","Female",63,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"1671","Male",63,"Hight school","under $1000","Above average","More of less satisfied","Pretty happy","Good"
"1672","Female",61,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1673","Male",67,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1674","Male",35,"Bachelors","More than $25000","Above average","More of less satisfied","Very happy","Good"
"1675","Male",64,"Bachelors","More than $25000","Far below average","Pretty well satisfied","Not too happy","Good"
"1676","Male",30,"Hight school","$10000-$14999","Below average","More of less satisfied","Not too happy","Fair"
"1677","Female",63,"Hight school","More than $25000","Far below average","Not satisfied at all","Pretty happy","Poor"
"1678","Female",34,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1679","Female",70,"Graduate","More than $25000","Below average","Pretty well satisfied","Very happy","Excellent"
"1680","Female",59,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"1681","Female",63,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1682","Female",73,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1683","Male",64,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1684","Female",57,"Less than high school","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"1685","Male",60,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Good"
"1686","Male",75,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1687","Female",67,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1688","Male",73,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1689","Female",56,"Hight school","$1000-$2999","Far below average","More of less satisfied","Pretty happy","Fair"
"1690","Female",24,"Bachelors","$1000-$2999","Below average","More of less satisfied","Pretty happy","Good"
"1691","Male",54,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"1692","Female",56,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"1693","Female",29,"Less than high school","More than $25000","Below average","More of less satisfied","Not too happy","Fair"
"1694","Female",61,"Graduate","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"1695","Male",34,"Less than high school","$20000-$24999","Average","Pretty well satisfied","Pretty happy","Fair"
"1696","Female",32,"Bachelors","$15000-$19999","Below average","Not satisfied at all","Pretty happy","Good"
"1697","Male",28,"Bachelors","More than $25000","Below average","More of less satisfied","Not too happy","Good"
"1698","Female",69,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"1699","Female",23,"associate/junior college","$10000-$14999","Above average","More of less satisfied","Not too happy","Good"
"1700","Male",52,"Bachelors","More than $25000","Above average","Not satisfied at all","Not too happy","Fair"
"1701","Male",27,"Bachelors","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"1702","Female",70,"Hight school","$10000-$14999","Below average","More of less satisfied","Not too happy","Fair"
"1703","Female",63,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1704","Female",70,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"1705","Male",74,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"1706","Female",61,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Good"
"1707","Female",38,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1708","Male",26,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1709","Male",35,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1710","Male",32,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1711","Male",50,"Graduate","$15000-$19999","Above average","More of less satisfied","Not too happy","Poor"
"1712","Female",37,"Bachelors","More than $25000","Above average","Not satisfied at all","Not too happy","Good"
"1713","Female",81,"associate/junior college","$10000-$14999","Below average","More of less satisfied","Pretty happy","Good"
"1714","Male",80,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Good"
"1715","Male",42,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"1716","Male",32,"Graduate","More than $25000","Above average","More of less satisfied","Not too happy","Fair"
"1717","Male",78,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1718","Female",58,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1719","Female",65,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"1720","Male",65,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"1721","Male",72,"associate/junior college","More than $25000","Below average","More of less satisfied","Not too happy","Poor"
"1722","Male",64,"Hight school","More than $25000","Far below average","Not satisfied at all","Not too happy","Good"
"1723","Female",23,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"1724","Female",59,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Excellent"
"1725","Male",29,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"1726","Female",37,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Excellent"
"1727","Female",65,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"1728","Male",72,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"1729","Female",31,"Hight school","$1000-$2999","Far below average","More of less satisfied","Not too happy","Good"
"1730","Male",34,"Bachelors","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"1731","Male",34,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1732","Female",70,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"1733","Female",65,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"1734","Female",24,"Hight school","$15000-$19999","Below average","Not satisfied at all","Not too happy","Good"
"1735","Female",28,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"1736","Female",37,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Poor"
"1737","Male",68,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Excellent"
"1738","Female",72,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1739","Male",60,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1740","Male",31,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1741","Female",47,"associate/junior college","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"1742","Male",46,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"1743","Male",76,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1744","Male",40,"Bachelors","$9000-$9999","Far below average","Not satisfied at all","Not too happy","Excellent"
"1745","Male",84,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"1746","Female",67,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"1747","Female",70,"Graduate","More than $25000","Below average","Pretty well satisfied","Pretty happy","Fair"
"1748","Female",68,"Hight school","$20000-$24999","Average","More of less satisfied","Very happy","Excellent"
"1749","Female",58,"Less than high school","More than $25000","Above average","More of less satisfied","Very happy","Poor"
"1750","Male",39,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1751","Female",60,"Hight school","$15000-$19999","Average","Not satisfied at all","Not too happy","Good"
"1752","Male",44,"Less than high school","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"1753","Male",46,"Hight school","More than $25000","Below average","Not satisfied at all","Very happy","Good"
"1754","Female",38,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"1755","Female",26,"Less than high school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1756","Male",42,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"1757","Male",77,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"1758","Female",69,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"1759","Female",55,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1760","Male",62,"Graduate","More than $25000","Below average","Not satisfied at all","Pretty happy","Excellent"
"1761","Female",74,"Hight school","$7000-$7999","Below average","More of less satisfied","Pretty happy","Fair"
"1762","Female",68,"Hight school","$15000-$19999","Far below average","More of less satisfied","Pretty happy","Fair"
"1763","Female",68,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"1764","Female",55,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1765","Female",79,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Excellent"
"1766","Female",67,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"1767","Male",40,"Hight school","More than $25000","Above average","More of less satisfied","Very happy","Excellent"
"1768","Female",28,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"1769","Female",55,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1770","Female",50,"Graduate","More than $25000","Far below average","Not satisfied at all","Not too happy","Good"
"1771","Female",22,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Excellent"
"1772","Female",69,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"1773","Male",49,"associate/junior college","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1774","Female",34,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Fair"
"1775","Male",58,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1776","Female",75,"Bachelors","More than $25000","Far below average","Not satisfied at all","Pretty happy","Good"
"1777","Male",37,"Bachelors","More than $25000","Above average","More of less satisfied","Very happy","Good"
"1778","Male",40,"Bachelors","More than $25000","Average","More of less satisfied","Very happy","Good"
"1779","Female",36,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1780","Female",36,"Bachelors","$9000-$9999","Below average","More of less satisfied","Pretty happy","Fair"
"1781","Male",66,"associate/junior college","$9000-$9999","Average","More of less satisfied","Pretty happy","Good"
"1782","Female",45,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1783","Male",65,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1784","Female",35,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"1785","Female",29,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1786","Male",70,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"1787","Female",62,"Hight school","$15000-$19999","Far below average","More of less satisfied","Pretty happy","Good"
"1788","Female",65,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"1789","Female",74,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"1790","Female",55,"Bachelors","More than $25000","Far above average","Pretty well satisfied","Pretty happy","Good"
"1791","Female",57,"Less than high school","$1000-$2999","Far below average","Not satisfied at all","Not too happy","Poor"
"1792","Male",86,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"1793","Female",48,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1794","Male",32,"Graduate","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"1795","Male",67,"Less than high school","$4000-$4999","Far above average","Not satisfied at all","Pretty happy","Fair"
"1796","Male",79,"Graduate","More than $25000","Below average","Pretty well satisfied","Very happy","Good"
"1797","Female",65,"Hight school","$10000-$14999","Average","More of less satisfied","Pretty happy","Excellent"
"1798","Male",70,"Hight school","$10000-$14999","Below average","Not satisfied at all","Not too happy","Fair"
"1799","Female",81,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Fair"
"1800","Male",74,"Graduate","More than $25000","Average","More of less satisfied","Very happy","Good"
"1801","Male",27,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1802","Female",31,"associate/junior college","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"1803","Male",26,"Hight school","under $1000","Average","More of less satisfied","Not too happy","Fair"
"1804","Female",58,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"1805","Female",49,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1806","Male",39,"Less than high school","under $1000","Far below average","Not satisfied at all","Not too happy","Excellent"
"1807","Male",41,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1808","Female",67,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1809","Female",30,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"1810","Female",64,"Hight school","$1000-$2999","Average","More of less satisfied","Not too happy","Fair"
"1811","Male",83,"Hight school","$15000-$19999","Below average","More of less satisfied","Pretty happy","Good"
"1812","Female",40,"Less than high school","More than $25000","Average","Pretty well satisfied","Very happy","Fair"
"1813","Female",51,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"1814","Male",79,"associate/junior college","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
